"major","course","dept","division","course_tier","n_took","n_total_grads","pct_took","typical_semester","earliest_semester","latest_semester","mean_grade"
"AAM","FS 110","FS","Other","common","4","6","0.667","1","1","1","1.667"
"AAM","BIO 145","BIO","NatSci","common","3","6","0.5","1","1","3","1.7"
"AAM","PSY 100","PSY","SocSci","common","3","6","0.5","1","1","4","1.333"
"AAM","BIO 140","BIO","NatSci","elective","2","6","0.333","1","1","1","2.7"
"AAM","BUS 205","BUS","PreProf","elective","1","6","0.167","1","1","1","0"
"AAM","CFP 104","CFP","PreProf","elective","1","6","0.167","1","1","1","NA"
"AAM","CHM 103","CHM","NatSci","elective","1","6","0.167","1","1","1","3"
"AAM","CHM 103L","CHM","NatSci","elective","1","6","0.167","1","1","1","NA"
"AAM","CRW 105","CRW","Human","elective","1","6","0.167","1","1","1","3.7"
"AAM","EDU 257","EDU","PreProf","elective","1","6","0.167","1","1","1","4"
"AAM","FRE 115","FRE","Human","elective","1","6","0.167","1","1","1","NA"
"AAM","NUR 100","NUR","PreProf","elective","1","6","0.167","1","1","1","NA"
"AAM","POL 108","POL","SocSci","elective","1","6","0.167","1","1","1","1"
"AAM","POL 207","POL","SocSci","elective","1","6","0.167","1","1","1","NA"
"AAM","MU 055","MU","Arts","elective","2","6","0.333","1.5","1","2","1.65"
"AAM","AAM 107","AAM","SocSci","core","6","6","1","2","1","3","3.55"
"AAM","COM 125","COM","SocSci","common","3","6","0.5","2","1","6","2.333"
"AAM","EDU 187","EDU","PreProf","elective","2","6","0.333","2","1","3","2.35"
"AAM","ENG 267","ENG","Human","elective","2","6","0.333","2","2","2","3"
"AAM","MU 101","MU","Arts","elective","2","6","0.333","2","1","3","1.5"
"AAM","CFP 205","CFP","PreProf","elective","1","6","0.167","2","2","2","NA"
"AAM","CHM 111","CHM","NatSci","elective","1","6","0.167","2","2","2","2"
"AAM","CHM 111L","CHM","NatSci","elective","1","6","0.167","2","2","2","NA"
"AAM","ECO 205","ECO","SocSci","elective","1","6","0.167","2","2","2","1.7"
"AAM","EDU 117","EDU","PreProf","elective","1","6","0.167","2","2","2","2.3"
"AAM","EDU 195","EDU","PreProf","elective","1","6","0.167","2","2","2","3.3"
"AAM","EDU 205","EDU","PreProf","elective","1","6","0.167","2","2","2","3.7"
"AAM","PE 060","PE","Other","elective","1","6","0.167","2","2","2","4"
"AAM","PE 105","PE","Other","elective","1","6","0.167","2","2","2","2.3"
"AAM","POL 277","POL","SocSci","elective","1","6","0.167","2","2","2","NA"
"AAM","PSY 115","PSY","SocSci","elective","1","6","0.167","2","2","2","1.3"
"AAM","RHE 146","RHE","Human","elective","1","6","0.167","2","2","2","NA"
"AAM","SOC 107","SOC","SocSci","core","6","6","1","2.5","2","5","1.717"
"AAM","EDU 105","EDU","PreProf","elective","2","6","0.333","2.5","1","4","3.5"
"AAM","HIS 155","HIS","SocSci","common","4","6","0.667","3","2","4","2.075"
"AAM","HIS 227","HIS","SocSci","common","4","6","0.667","3","2","6","1.567"
"AAM","ENG 137","ENG","Human","common","3","6","0.5","3","2","7","3.667"
"AAM","ANT 109","ANT","SocSci","elective","1","6","0.167","3","3","3","0.7"
"AAM","BUS 330","BUS","PreProf","elective","1","6","0.167","3","3","3","1.7"
"AAM","CFP 301","CFP","PreProf","elective","1","6","0.167","3","3","3","3"
"AAM","CFP 302","CFP","PreProf","elective","1","6","0.167","3","3","3","2.3"
"AAM","CHM 121","CHM","NatSci","elective","1","6","0.167","3","3","3","1"
"AAM","CHM 121L","CHM","NatSci","elective","1","6","0.167","3","3","3","NA"
"AAM","COM 161","COM","SocSci","elective","1","6","0.167","3","3","3","3.3"
"AAM","EDU 235","EDU","PreProf","elective","1","6","0.167","3","3","3","4"
"AAM","MU 100","MU","Arts","elective","1","6","0.167","3","3","3","NA"
"AAM","NUR 200","NUR","PreProf","elective","1","6","0.167","3","3","3","NA"
"AAM","REL 136","REL","Human","elective","1","6","0.167","3","3","3","2.7"
"AAM","SCJ 220","SCJ","SocSci","elective","1","6","0.167","3","3","3","1"
"AAM","SOC 237","SOC","SocSci","elective","1","6","0.167","3","3","3","0.7"
"AAM","THE 288","THE","Arts","elective","1","6","0.167","3","3","3","0"
"AAM","HIS 247","HIS","SocSci","common","3","6","0.5","4","4","6","2.467"
"AAM","SCJ 101","SCJ","SocSci","common","3","6","0.5","4","3","7","2.65"
"AAM","RHE 284","RHE","Human","elective","2","6","0.333","4","4","4","2"
"AAM","SKD 025","SKD","Other","elective","2","6","0.333","4","4","4","NA"
"AAM","AMS 287","AMS","Other","elective","1","6","0.167","4","4","4","3"
"AAM","ANT 284","ANT","SocSci","elective","1","6","0.167","4","4","4","NA"
"AAM","ART 115","ART","Arts","elective","1","6","0.167","4","4","4","2.7"
"AAM","COM 151","COM","SocSci","elective","1","6","0.167","4","4","4","3"
"AAM","EDU 387","EDU","PreProf","elective","1","6","0.167","4","4","4","4"
"AAM","KIN 135","KIN","PreProf","elective","1","6","0.167","4","4","4","3"
"AAM","REL 226","REL","Human","elective","1","6","0.167","4","4","4","3.3"
"AAM","SOC 355","SOC","SocSci","elective","1","6","0.167","4","4","4","2.3"
"AAM","ENG 101","ENG","Human","elective","2","6","0.333","4.5","3","6","3.3"
"AAM","AAM 287","AAM","SocSci","common","4","6","0.667","5","3","6","3.925"
"AAM","HIS 145","HIS","SocSci","common","3","6","0.5","5","5","7","2.1"
"AAM","KIN 104","KIN","PreProf","elective","2","6","0.333","5","2","8","4"
"AAM","ACC 171","ACC","PreProf","elective","1","6","0.167","5","5","5","0"
"AAM","CFP 401","CFP","PreProf","elective","1","6","0.167","5","5","5","NA"
"AAM","COM 457","COM","SocSci","elective","1","6","0.167","5","5","5","3.3"
"AAM","CS 125","CS","STEM","elective","1","6","0.167","5","5","5","1"
"AAM","ECO 215","ECO","SocSci","elective","1","6","0.167","5","5","5","1.3"
"AAM","EDU 215","EDU","PreProf","elective","1","6","0.167","5","5","5","4"
"AAM","EDU 219","EDU","PreProf","elective","1","6","0.167","5","5","5","NA"
"AAM","EDU 270","EDU","PreProf","elective","1","6","0.167","5","5","5","2"
"AAM","EDU 275","EDU","PreProf","elective","1","6","0.167","5","5","5","2.7"
"AAM","KIN 110","KIN","PreProf","elective","1","6","0.167","5","5","5","1.3"
"AAM","REL 115","REL","Human","elective","1","6","0.167","5","5","5","NA"
"AAM","RHE 200","RHE","Human","elective","1","6","0.167","5","5","5","3"
"AAM","SOC 235","SOC","SocSci","elective","1","6","0.167","5","5","5","1.3"
"AAM","SPA 215","SPA","Human","elective","1","6","0.167","5","5","5","2.7"
"AAM","PHY 114","PHY","NatSci","elective","2","6","0.333","5.5","5","6","3.85"
"AAM","PHY 114L","PHY","NatSci","elective","2","6","0.333","5.5","5","6","NA"
"AAM","AAM 217","AAM","SocSci","core","5","6","0.833","6","4","10","3.38"
"AAM","COM 241","COM","SocSci","elective","2","6","0.333","6","4","8","1.5"
"AAM","SCJ 350","SCJ","SocSci","elective","2","6","0.333","6","4","8","2.7"
"AAM","CFP 402","CFP","PreProf","elective","1","6","0.167","6","6","6","1.7"
"AAM","COM 381","COM","SocSci","elective","1","6","0.167","6","6","6","3.3"
"AAM","CS 135","CS","STEM","elective","1","6","0.167","6","6","6","0"
"AAM","EDU 241","EDU","PreProf","elective","1","6","0.167","6","6","6","2.7"
"AAM","EDU 247","EDU","PreProf","elective","1","6","0.167","6","6","6","3.7"
"AAM","ENG 367","ENG","Human","elective","1","6","0.167","6","6","6","NA"
"AAM","HIS 335","HIS","SocSci","elective","1","6","0.167","6","6","6","1"
"AAM","KIN 103","KIN","PreProf","elective","1","6","0.167","6","6","6","0"
"AAM","KIN 112","KIN","PreProf","elective","1","6","0.167","6","6","6","4"
"AAM","KIN 201","KIN","PreProf","elective","1","6","0.167","6","6","6","3"
"AAM","KIN 205","KIN","PreProf","elective","1","6","0.167","6","6","6","4"
"AAM","MTH 215","MTH","STEM","elective","1","6","0.167","6","6","6","NA"
"AAM","PSY 105","PSY","SocSci","elective","1","6","0.167","6","6","6","2.3"
"AAM","THE 290","THE","Arts","elective","1","6","0.167","6","6","6","NA"
"AAM","ANT 116","ANT","SocSci","common","4","6","0.667","6.5","5","10","0"
"AAM","STA 100","STA","STEM","common","4","6","0.667","6.5","3","10","2.15"
"AAM","FLM 105","FLM","Arts","elective","2","6","0.333","6.5","3","10","3.3"
"AAM","MTH 135","MTH","STEM","elective","2","6","0.333","6.5","5","8","1.3"
"AAM","STA 110","STA","STEM","core","5","6","0.833","7","3","11","2.85"
"AAM","KIN 102","KIN","PreProf","common","3","6","0.5","7","5","7","1.333"
"AAM","HIS 216","HIS","SocSci","elective","2","6","0.333","7","5","9","3.3"
"AAM","HSS 100","HSS","Other","elective","2","6","0.333","7","6","8","3.35"
"AAM","CRW 280","CRW","Human","elective","1","6","0.167","7","7","7","3"
"AAM","DS 100","DS","STEM","elective","1","6","0.167","7","7","7","1.7"
"AAM","DS 230","DS","STEM","elective","1","6","0.167","7","7","7","0"
"AAM","EDU 260","EDU","PreProf","elective","1","6","0.167","7","7","7","3"
"AAM","EDU 312","EDU","PreProf","elective","1","6","0.167","7","7","7","4"
"AAM","FLM 250","FLM","Arts","elective","1","6","0.167","7","7","7","3.3"
"AAM","HIS 115","HIS","SocSci","elective","1","6","0.167","7","7","7","3"
"AAM","HIS 268","HIS","SocSci","elective","1","6","0.167","7","7","7","NA"
"AAM","KIN 100","KIN","PreProf","elective","1","6","0.167","7","7","7","4"
"AAM","MTH 105","MTH","STEM","elective","1","6","0.167","7","7","7","NA"
"AAM","PHL 128","PHL","Human","elective","1","6","0.167","7","7","7","2.3"
"AAM","PR 205","PR","SocSci","elective","1","6","0.167","7","7","7","1"
"AAM","RHE 265","RHE","Human","elective","1","6","0.167","7","7","7","0"
"AAM","SOC 247","SOC","SocSci","elective","2","6","0.333","7.5","5","10","1.8"
"AAM","AAM 227","AAM","SocSci","common","3","6","0.5","8","4","8","2.567"
"AAM","BUS 250","BUS","PreProf","elective","1","6","0.167","8","8","8","0"
"AAM","ECO 175","ECO","SocSci","elective","1","6","0.167","8","8","8","0"
"AAM","EDU 489","EDU","PreProf","elective","1","6","0.167","8","8","8","NA"
"AAM","EDU 490","EDU","PreProf","elective","1","6","0.167","8","8","8","NA"
"AAM","PHL 205","PHL","Human","elective","1","6","0.167","8","8","8","0"
"AAM","PSY 245","PSY","SocSci","elective","1","6","0.167","8","8","8","1.7"
"AAM","SCJ 494","SCJ","SocSci","elective","1","6","0.167","8","8","8","4"
"AAM","SKD 120","SKD","Other","elective","1","6","0.167","8","8","8","NA"
"AAM","SKD 125","SKD","Other","elective","1","6","0.167","8","8","8","NA"
"AAM","SOC 351","SOC","SocSci","elective","1","6","0.167","8","8","8","3.3"
"AAM","CRW 125","CRW","Human","elective","2","6","0.333","8.5","8","9","3"
"AAM","AAM 137","AAM","SocSci","elective","1","6","0.167","9","9","9","2.7"
"AAM","BUS 190","BUS","PreProf","elective","1","6","0.167","9","9","9","NA"
"AAM","BUS 460","BUS","PreProf","elective","1","6","0.167","9","9","9","1.7"
"AAM","COM 157","COM","SocSci","elective","1","6","0.167","9","9","9","2.7"
"AAM","CRW 106","CRW","Human","elective","1","6","0.167","9","9","9","4"
"AAM","HIS 355","HIS","SocSci","elective","1","6","0.167","9","9","9","2.7"
"AAM","KIN 125","KIN","PreProf","elective","1","6","0.167","9","9","9","NA"
"AAM","KIN 155","KIN","PreProf","elective","1","6","0.167","9","9","9","3"
"AAM","PSY 295","PSY","SocSci","elective","1","6","0.167","9","9","9","2.3"
"AAM","REL 295","REL","Human","elective","1","6","0.167","9","9","9","2.3"
"AAM","AAM 444","AAM","SocSci","core","5","6","0.833","10","6","10","3.32"
"AAM","CRW 380","CRW","Human","elective","1","6","0.167","10","10","10","1"
"AAM","DS 260","DS","STEM","elective","1","6","0.167","10","10","10","1.7"
"AAM","FLM 105L","FLM","Arts","elective","1","6","0.167","10","10","10","NA"
"AAM","HIS 347","HIS","SocSci","elective","1","6","0.167","10","10","10","2"
"AAM","SCJ 201","SCJ","SocSci","elective","1","6","0.167","10","10","10","4"
"AAM","SCJ 490","SCJ","SocSci","elective","1","6","0.167","10","10","10","NA"
"AAM","SKD 130","SKD","Other","elective","1","6","0.167","10","10","10","1"
"AAM","ARH 110","ARH","Arts","elective","1","6","0.167","11","11","11","1.7"
"AAM","ASC 186","ASC","SocSci","elective","1","6","0.167","11","11","11","3"
"AAM","PHY 104","PHY","NatSci","elective","1","6","0.167","11","11","11","3.7"
"AAM","PSY 215","PSY","SocSci","elective","1","6","0.167","12","12","12","2.7"
"ACM","ACC 171","ACC","PreProf","core","20","25","0.8","1","1","3","3.595"
"ACM","ECO 175","ECO","SocSci","core","20","25","0.8","1","1","4","2.93"
"ACM","FS 110","FS","Other","core","20","25","0.8","1","1","1","3.535"
"ACM","PSY 100","PSY","SocSci","elective","9","25","0.36","1","1","4","2.844"
"ACM","HIS 145","HIS","SocSci","elective","5","25","0.2","1","1","3","2.94"
"ACM","PHL 115","PHL","Human","rare","3","25","0.12","1","1","1","3"
"ACM","BIO 145","BIO","NatSci","rare","2","25","0.08","1","1","1","2"
"ACM","BIO 145L","BIO","NatSci","rare","2","25","0.08","1","1","1","2.65"
"ACM","BUS 205","BUS","PreProf","rare","2","25","0.08","1","1","1","4"
"ACM","BUS 355","BUS","PreProf","rare","1","25","0.04","1","1","1","4"
"ACM","CFP 104","CFP","PreProf","rare","1","25","0.04","1","1","1","NA"
"ACM","CLA 120","CLA","Human","rare","1","25","0.04","1","1","1","3.3"
"ACM","EDU 235","EDU","PreProf","rare","1","25","0.04","1","1","1","4"
"ACM","EDU 257","EDU","PreProf","rare","1","25","0.04","1","1","1","4"
"ACM","HIS 268","HIS","SocSci","rare","1","25","0.04","1","1","1","2.3"
"ACM","HIS 316","HIS","SocSci","rare","1","25","0.04","1","1","1","4"
"ACM","JPN 115","JPN","Human","rare","1","25","0.04","1","1","1","4"
"ACM","MU 115","MU","Arts","rare","1","25","0.04","1","1","1","1"
"ACM","MUA 083","MUA","Arts","rare","1","25","0.04","1","1","1","4"
"ACM","MUA 100","MUA","Arts","rare","1","25","0.04","1","1","1","4"
"ACM","MUA 101S","MUA","Arts","rare","1","25","0.04","1","1","1","4"
"ACM","MUA 103","MUA","Arts","rare","1","25","0.04","1","1","1","4"
"ACM","MUA 111","MUA","Arts","rare","1","25","0.04","1","1","1","4"
"ACM","MUA 350","MUA","Arts","rare","1","25","0.04","1","1","1","2.7"
"ACM","MUA 522","MUA","Arts","rare","1","25","0.04","1","1","1","2"
"ACM","PHY 185","PHY","NatSci","rare","1","25","0.04","1","1","1","2"
"ACM","PHY 185L","PHY","NatSci","rare","1","25","0.04","1","1","1","NA"
"ACM","PSY 115","PSY","SocSci","rare","1","25","0.04","1","1","1","4"
"ACM","SKD 120","SKD","Other","rare","1","25","0.04","1","1","1","NA"
"ACM","SPA 215","SPA","Human","rare","1","25","0.04","1","1","1","3"
"ACM","THE 102","THE","Arts","rare","1","25","0.04","1","1","1","4"
"ACM","MTH 145","MTH","STEM","rare","2","25","0.08","1.5","1","2","2.15"
"ACM","ACC 215","ACC","PreProf","core","20","25","0.8","2","2","5","3.16"
"ACM","POL 108","POL","SocSci","elective","5","25","0.2","2","1","8","3.433"
"ACM","THE 100","THE","Arts","elective","5","25","0.2","2","1","4","3.86"
"ACM","MTH 135","MTH","STEM","elective","4","25","0.16","2","1","5","3.075"
"ACM","BUS 111","BUS","PreProf","rare","3","25","0.12","2","2","3","3.433"
"ACM","COM 125","COM","SocSci","rare","3","25","0.12","2","2","2","3.333"
"ACM","ECO 205","ECO","SocSci","rare","3","25","0.12","2","1","2","2.667"
"ACM","BUS 215","BUS","PreProf","rare","2","25","0.08","2","2","2","4"
"ACM","CHM 121","CHM","NatSci","rare","2","25","0.08","2","2","2","2"
"ACM","CHM 121L","CHM","NatSci","rare","2","25","0.08","2","2","2","NA"
"ACM","DS 100","DS","STEM","rare","2","25","0.08","2","2","2","4"
"ACM","KIN 105","KIN","PreProf","rare","2","25","0.08","2","2","2","3.2"
